Month,flu contagious: (Boston MA-Manchester NH),flu fever: (Boston MA-Manchester NH),flu contagious: (California),flu fever: (California),flu contagious: (Chicago IL),flu fever: (Chicago IL),flu contagious: (Houston TX),flu fever: (Houston TX),flu contagious: (Illinois),flu fever: (Illinois),flu contagious: (Massachusetts),flu fever: (Massachusetts),flu contagious: (New York),flu fever: (New York),flu contagious: (New York NY),flu fever: (New York NY),flu contagious: (Pennsylvania),flu fever: (Pennsylvania),flu contagious: (Philadelphia PA),flu fever: (Philadelphia PA),flu contagious: (San Francisco-Oakland-San Jose CA),flu fever: (San Francisco-Oakland-San Jose CA),flu contagious: (Texas),flu fever: (Texas),flu contagious: (United States),flu fever: (United States)
2015-06,4,5,5,9,2,10,5,2,7,4,2,10,3,7,2,10,1,8,0,13,9,11,2,6,3,7
2015-07,0,9,5,11,1,8,1,8,3,8,4,8,4,12,3,8,3,6,2,0,2,7,0,6,3,6
2015-08,0,7,6,8,1,7,5,4,4,9,2,6,3,5,2,6,5,2,2,4,6,3,1,5,3,6
2015-09,2,7,4,13,2,8,4,12,5,6,4,22,6,14,3,11,2,13,2,20,3,11,4,7,5,10
2015-10,3,15,10,17,3,17,4,12,7,18,6,13,11,17,7,20,4,14,8,22,11,17,6,9,8,15
2015-11,4,12,11,20,11,20,3,14,10,12,12,19,7,25,7,24,8,10,9,31,11,21,5,11,10,17
2015-12,9,21,24,24,13,12,8,20,20,16,11,26,10,24,11,23,10,22,18,25,17,25,7,12,13,18
2016-01,11,23,15,21,10,14,5,10,17,18,12,18,13,19,12,21,8,22,10,20,15,25,7,10,11,16
2016-02,11,15,22,32,25,24,14,21,27,25,11,21,41,32,33,30,9,24,10,14,11,24,14,21,21,26
2016-03,32,41,15,24,11,32,24,26,18,31,51,44,48,44,45,39,32,35,22,39,15,19,19,19,28,34
2016-04,18,17,9,14,6,14,14,16,8,12,23,18,21,31,20,26,18,11,13,16,7,17,10,12,13,17
2016-05,7,18,5,14,4,5,7,13,3,9,8,12,10,15,8,12,5,9,7,7,8,13,5,9,6,11
2016-06,3,8,6,11,3,9,6,10,3,10,4,13,5,9,3,11,2,10,3,5,3,11,6,6,3,8
2016-07,5,7,4,9,3,2,2,6,1,5,1,4,3,6,2,7,2,5,1,4,7,13,1,3,3,6
2016-08,4,5,4,7,1,10,1,7,4,9,0,4,2,14,2,11,3,7,7,7,3,4,1,4,3,7
2016-09,4,12,7,12,2,8,7,8,6,11,3,17,5,18,7,15,2,6,0,15,6,10,4,12,5,13
2016-10,8,22,8,15,2,13,8,18,3,15,10,18,13,20,12,19,6,10,6,17,7,20,6,12,8,17
2016-11,7,20,13,17,11,19,8,17,12,14,7,11,13,20,10,14,7,18,12,19,14,16,5,17,10,17
2016-12,19,23,22,26,24,12,11,20,26,16,17,21,25,33,27,21,22,15,14,18,19,25,12,16,21,22
2017-01,25,26,22,36,27,22,19,19,33,22,38,34,49,56,44,49,36,28,28,39,25,45,22,20,30,31
2017-02,54,45,16,26,35,42,30,38,44,37,62,48,51,50,45,45,36,42,48,35,22,24,34,43,43,46
2017-03,31,33,14,18,12,35,19,26,18,30,20,31,17,33,22,30,30,24,24,33,11,15,18,22,27,31
2017-04,17,25,13,19,10,10,16,10,10,12,35,33,21,30,15,27,9,19,16,24,11,15,8,10,15,18
2017-05,3,9,12,13,4,8,4,9,5,10,10,18,9,12,5,12,2,11,5,9,7,16,5,5,7,11
2017-06,0,1,7,13,5,7,4,10,9,9,2,18,5,10,6,8,1,4,0,10,4,14,2,7,4,9
2017-07,1,19,6,9,2,10,4,11,4,9,3,5,7,12,4,8,2,7,1,2,2,8,3,5,3,8
2017-08,4,13,4,10,3,8,2,7,3,5,3,1,4,10,4,14,3,5,2,8,3,6,2,7,3,8
2017-09,3,15,6,14,5,12,4,7,7,10,7,11,8,17,5,17,1,11,3,8,6,15,4,12,6,13
2017-10,1,25,12,19,9,14,7,19,11,16,15,19,12,26,11,22,11,16,6,26,8,11,9,16,11,20
2017-11,8,27,16,19,14,14,21,27,18,20,8,22,19,30,13,27,6,20,10,11,13,30,13,23,15,24
2017-12,37,36,37,54,38,35,90,61,52,34,40,44,39,48,31,44,30,30,22,26,32,48,57,51,50,47
2018-01,88,100,80,100,80,100,100,96,79,100,94,77,99,100,91,100,87,68,65,64,72,100,100,96,96,100
