Month,flu fever: (Arizona),symptoms of flu: (Boston MA-Manchester NH),flu fever: (California),flu fever: (Chicago IL),flu fever: (Florida),flu fever: (Houston TX),flu fever: (Illinois),flu fever: (Los Angeles CA),flu fever: (Massachusetts),flu fever: (Miami-Ft. Lauderdale FL),flu fever: (New York),flu fever: (New York NY),flu fever: (Pennsylvania),flu fever: (Philadelphia PA),flu fever: (Phoenix AZ),flu fever: (Seattle-Tacoma WA),flu fever: (San Francisco-Oakland-San Jose CA),flu fever: (Texas),flu fever: (United States),flu fever: (Washington)
2009-02,31,14,16,4,16,15,14,8,37,0,10,14,15,23,9,11,16,11,13,20
2009-03,14,6,9,11,14,7,9,19,14,19,6,14,19,4,16,19,6,9,11,13
2009-04,28,54,15,19,19,7,29,32,45,21,26,29,12,19,32,15,12,11,15,14
2009-05,72,78,26,15,27,14,3,38,35,20,39,55,18,26,48,40,18,13,24,28
2009-06,0,39,15,8,15,14,14,17,40,40,34,39,13,15,0,15,15,3,15,5
2009-07,29,18,13,11,21,14,3,29,31,39,10,12,10,15,8,26,9,10,11,20
2009-08,14,20,12,11,12,14,3,22,31,0,23,6,13,15,24,16,4,8,14,14
2009-09,28,60,21,15,42,78,39,30,34,39,20,24,35,37,8,26,12,47,32,24
2009-10,67,96,55,94,55,59,54,56,40,47,70,43,100,100,54,100,19,55,72,100
2009-11,56,100,37,86,28,0,57,83,97,69,70,59,40,43,80,29,23,25,44,36
2009-12,21,20,18,21,25,14,22,23,45,29,33,34,37,36,24,10,9,10,15,27
2010-01,33,15,12,3,6,7,26,11,28,0,18,12,14,3,15,0,8,6,14,8
2010-02,7,15,13,14,11,7,12,14,26,0,16,12,6,18,0,5,3,10,9,4
2010-03,0,5,5,6,16,13,19,4,8,0,5,5,5,10,0,18,1,8,7,24
2010-04,6,6,9,10,8,0,9,6,0,0,14,11,5,0,0,9,1,6,6,8
2010-05,13,7,9,3,2,0,6,11,13,10,7,8,6,4,0,5,2,4,5,13
2010-06,7,2,3,3,7,7,0,7,22,0,1,5,3,4,8,0,3,5,4,0
2010-07,0,0,4,0,8,7,0,6,0,0,7,5,9,7,0,4,2,3,3,4
2010-08,6,3,5,3,6,7,12,8,12,9,6,2,9,4,0,0,0,3,4,4
2010-09,6,3,8,13,12,13,14,2,8,0,4,7,5,7,7,25,3,12,7,15
2010-10,12,6,10,6,4,13,8,18,18,0,5,11,10,13,14,12,5,7,10,14
2010-11,12,7,8,15,11,20,14,10,22,18,20,19,8,7,21,4,3,5,11,7
2010-12,18,8,8,13,13,19,8,16,7,36,24,20,8,16,28,11,5,8,12,11
2011-01,21,8,22,29,23,21,28,22,23,20,21,30,19,31,25,8,16,16,19,12
2011-02,30,9,30,32,17,32,20,36,57,4,31,38,26,24,39,8,25,22,26,12
2011-03,23,8,19,18,8,15,17,19,7,26,14,17,11,15,11,22,23,11,14,25
2011-04,10,3,12,7,12,5,9,13,12,8,9,8,4,9,12,10,16,1,7,14
2011-05,6,4,11,4,4,5,7,12,5,8,4,6,3,5,7,5,7,2,5,4
2011-06,0,1,5,4,3,7,6,12,7,16,6,7,12,5,8,7,6,6,6,6
2011-07,4,3,5,5,6,5,5,6,3,4,3,5,4,5,0,5,9,5,5,2
2011-08,0,1,8,4,4,2,6,3,5,4,7,3,11,6,4,10,8,2,5,9
2011-09,17,1,8,8,6,12,13,11,9,4,4,7,9,8,12,2,14,8,8,15
2011-10,26,5,15,16,9,20,9,18,20,15,15,17,16,12,11,12,9,10,13,13
2011-11,10,6,13,6,8,9,14,20,9,14,16,15,11,10,11,13,18,8,12,14
2011-12,12,8,13,5,13,11,16,12,15,16,15,13,20,24,4,25,12,8,12,16
2012-01,3,4,18,11,12,15,16,14,13,10,15,17,7,14,3,9,17,8,11,3
2012-02,15,10,15,21,15,12,12,19,11,7,12,10,9,7,11,10,19,12,14,10
2012-03,11,9,20,22,11,8,16,17,10,9,14,16,11,13,16,11,17,11,13,10
2012-04,14,2,12,8,13,8,11,9,20,19,9,8,2,4,20,6,18,12,9,12
2012-05,14,3,12,6,7,4,11,12,7,7,8,7,9,5,3,2,12,6,6,8
2012-06,9,2,7,5,14,6,3,7,7,10,7,7,4,2,7,8,5,4,6,3
2012-07,6,3,6,4,6,15,7,7,2,13,5,6,2,0,7,6,6,5,5,10
2012-08,8,2,8,7,7,16,3,11,10,19,4,6,8,11,10,4,5,4,7,10
2012-09,5,5,14,5,9,14,10,10,13,17,11,8,10,10,3,4,13,9,10,5
2012-10,13,6,21,13,14,6,11,20,20,14,11,9,11,9,23,14,20,8,12,14
2012-11,8,5,20,9,12,17,16,14,15,13,12,12,15,17,25,19,21,9,15,14
2012-12,23,12,17,35,26,25,34,21,53,18,34,31,24,38,29,16,16,26,28,19
2013-01,64,49,56,57,47,34,48,52,100,43,59,71,63,76,58,50,52,49,52,56
2013-02,23,14,43,30,17,13,22,35,24,31,21,29,24,47,42,13,31,15,25,24
2013-03,10,5,21,17,20,15,14,20,13,18,23,23,21,22,10,18,13,12,18,20
2013-04,11,6,14,12,10,14,14,11,12,11,9,9,10,16,7,17,16,8,12,18
2013-05,9,4,15,8,7,4,4,9,7,5,7,7,8,9,13,8,11,3,6,12
2013-06,10,3,7,2,6,5,8,7,3,3,7,5,5,6,17,3,12,4,5,0
2013-07,5,1,7,7,9,2,8,8,5,4,5,4,3,4,12,5,10,2,5,9
2013-08,7,2,10,4,6,2,5,8,11,8,8,9,4,4,0,6,5,2,5,8
2013-09,7,3,9,17,7,11,10,14,14,11,9,7,5,3,9,16,11,7,9,13
2013-10,14,7,17,11,18,11,13,17,14,28,14,16,16,20,16,20,19,12,16,10
2013-11,17,6,16,15,16,25,15,18,20,16,11,12,13,12,17,16,17,13,15,11
2013-12,15,9,26,27,20,41,27,22,21,38,17,19,14,9,20,14,36,29,24,21
2014-01,58,15,41,30,25,31,29,36,45,29,30,34,27,34,58,27,44,35,35,41
2014-02,27,9,23,19,20,12,24,27,33,13,17,16,25,31,20,23,30,17,19,22
2014-03,25,8,16,13,12,9,12,12,25,20,24,24,16,10,36,19,12,12,15,16
2014-04,8,6,9,16,11,17,13,10,28,21,20,19,13,16,5,7,7,8,12,11
2014-05,14,2,11,6,10,9,9,11,5,8,9,9,3,7,23,0,15,7,8,5
2014-06,2,3,10,7,9,7,4,11,4,10,6,8,11,13,8,4,5,5,6,6
2014-07,10,1,7,14,3,2,7,10,8,7,7,5,5,6,11,4,7,2,6,7
2014-08,5,2,6,4,9,10,7,12,8,7,3,4,7,7,0,7,4,4,6,3
2014-09,2,3,10,9,10,5,8,12,22,7,11,9,14,11,8,11,15,6,9,13
2014-10,26,7,22,10,22,24,13,17,33,7,18,18,19,23,24,16,21,17,18,21
2014-11,17,5,15,28,19,25,15,20,22,11,16,15,12,20,17,7,10,13,17,18
2014-12,22,7,27,42,36,58,57,24,34,20,36,34,42,50,19,27,25,41,38,39
2015-01,39,23,44,32,25,38,28,44,42,16,53,54,43,55,40,29,43,26,40,41
2015-02,35,14,26,17,21,27,20,33,22,8,31,29,31,25,26,29,22,19,25,20
2015-03,20,8,24,20,16,12,20,22,36,12,19,21,22,20,23,17,30,14,18,18
2015-04,26,8,17,15,15,9,14,12,26,21,12,12,12,10,27,14,15,9,12,17
2015-05,9,7,11,11,16,3,6,14,12,13,7,8,13,10,14,7,4,5,8,15
2015-06,7,5,8,7,9,8,8,10,2,4,6,8,9,9,8,6,5,3,7,5
2015-07,9,1,13,4,6,4,4,9,8,4,7,6,7,2,19,4,9,6,6,2
2015-08,7,3,7,6,5,3,6,7,6,3,7,5,2,7,8,2,7,3,5,5
2015-09,9,5,10,8,11,9,10,12,26,14,11,10,10,5,18,15,9,6,10,15
2015-10,26,5,20,13,14,19,12,15,13,6,14,16,18,23,17,9,16,9,14,15
2015-11,29,7,16,12,14,9,21,13,14,16,20,15,15,20,18,11,19,11,15,10
2015-12,18,11,18,22,15,16,20,29,25,16,21,23,27,27,20,15,15,11,17,16
2016-01,28,6,19,16,10,13,16,20,13,22,19,19,24,23,31,21,19,9,16,19
2016-02,55,6,33,31,25,25,25,40,27,22,29,28,24,13,46,29,29,19,23,28
2016-03,55,10,27,30,33,27,21,23,53,22,33,38,30,36,64,22,24,21,31,35
2016-04,26,10,12,6,11,13,16,16,24,22,23,22,12,15,29,16,22,13,15,12
2016-05,15,4,12,10,8,8,8,16,14,10,15,13,8,6,11,7,13,7,8,6
2016-06,10,2,10,13,12,9,7,11,11,7,8,10,8,3,9,3,9,6,7,11
2016-07,18,2,11,4,10,14,7,10,3,2,4,6,4,3,9,5,13,6,7,6
2016-08,4,2,6,7,7,9,10,11,10,16,9,10,4,5,0,10,5,3,6,11
2016-09,13,4,12,11,10,10,11,11,18,4,14,12,14,17,20,13,8,9,11,12
2016-10,17,5,16,14,11,17,14,17,17,17,14,18,14,9,11,15,19,9,15,15
2016-11,17,3,22,15,16,25,17,20,20,13,13,13,16,25,15,16,15,14,16,19
2016-12,25,7,23,16,18,24,26,24,15,19,24,27,23,21,30,23,22,13,19,24
2017-01,27,10,39,24,22,15,22,28,26,22,40,51,33,30,16,48,42,18,29,54
2017-02,25,13,26,38,41,46,37,25,51,30,37,47,44,36,35,24,19,37,40,21
2017-03,32,11,18,28,26,27,21,25,39,14,26,24,25,26,26,14,22,22,27,18
2017-04,34,7,17,13,20,15,13,22,34,18,21,26,27,18,25,19,14,10,16,19
2017-05,17,3,16,12,9,11,8,16,21,21,11,11,12,10,18,9,13,7,9,10
2017-06,17,3,10,6,11,12,7,12,20,9,9,10,5,14,13,7,9,6,8,6
2017-07,15,1,11,7,8,10,5,8,8,2,10,9,5,6,11,1,9,7,7,6
2017-08,11,2,10,9,8,3,10,9,6,4,10,10,8,8,6,15,11,4,7,10
2017-09,20,4,14,10,5,13,12,15,16,5,16,12,13,14,17,4,11,10,12,14
2017-10,29,10,18,17,14,22,16,17,15,8,18,21,18,24,21,13,15,14,19,18
2017-11,30,8,20,16,20,21,22,16,20,21,26,21,22,16,25,26,27,21,22,24
2017-12,70,12,54,37,28,69,42,48,43,19,32,36,29,22,63,38,40,47,41,28
2018-01,100,55,100,100,100,100,100,100,95,85,100,100,71,72,100,73,100,100,100,79
